convexhullpoint  parameter_lnA    parameter_n   parameter_EperR
chullpoint_0001     60.69298       -3.550513        8351.428    
chullpoint_0002     50.58939       -2.076507        7842.574    
chullpoint_0003     47.62020       -1.923493        6504.908    
chullpoint_0004     37.51661      -0.4494869        5996.054    
chullpoint_0005     64.05977       -4.000000        8592.332    
chullpoint_0006     64.99692       -4.000000        8873.478    
chullpoint_0007     33.21266        0.000000        5474.004    
chullpoint_0008     34.14982        0.000000        5755.150    
chullpoint_0009     33.77610        0.000000        6093.787    
chullpoint_0010     34.84713        0.000000        6522.199    
chullpoint_0011     63.36245       -4.000000        7825.283    
chullpoint_0012     64.43348       -4.000000        8253.695    
