 convexhullside  parameter_lnA    parameter_n   parameter_EperR
chullside_00001     22.50522        1.067609       -95.81063    
chullside_00001     18.17628        1.637661       -419.0565    
chullside_00001     10.82580        2.569878       -1029.051    
chullside_00001     22.50522        1.067609       -95.81063    
 
chullside_00002     22.50522        1.067609       -95.81063    
chullside_00002     31.98704      -0.2600000        477.0162    
chullside_00002     10.82580        2.569878       -1029.051    
chullside_00002     22.50522        1.067609       -95.81063    
 
chullside_00003     18.17628        1.637661       -419.0565    
chullside_00003     11.90240        2.436425       -934.4276    
chullside_00003     10.82580        2.569878       -1029.051    
chullside_00003     18.17628        1.637661       -419.0565    
 
chullside_00004     11.90240        2.436425       -934.4276    
chullside_00004     11.58436        2.476313       -961.5859    
chullside_00004     10.82580        2.569878       -1029.051    
chullside_00004     11.90240        2.436425       -934.4276    
 
chullside_00005     11.58436        2.476313       -961.5859    
chullside_00005     11.46791        2.490735       -971.8451    
chullside_00005     10.82580        2.569878       -1029.051    
chullside_00005     11.58436        2.476313       -961.5859    
 
chullside_00006     11.46791        2.490735       -971.8451    
chullside_00006     1.262271        3.740000       -2050.167    
chullside_00006     10.82580        2.569878       -1029.051    
chullside_00006     11.46791        2.490735       -971.8451    
 
chullside_00007     9.840276        2.217511       -2355.109    
chullside_00007     12.42610        1.892536       -2014.102    
chullside_00007     9.271898        2.294073       -2394.614    
chullside_00007     9.840276        2.217511       -2355.109    
 
chullside_00008     9.271898        2.294073       -2394.614    
chullside_00008     12.47731        1.886157       -2007.045    
chullside_00008     8.402061        2.412391       -2453.107    
chullside_00008     9.271898        2.294073       -2394.614    
 
chullside_00009     30.22324      -0.2600000       -52.12487    
chullside_00009     31.98704      -0.2600000        477.0162    
chullside_00009     10.82580        2.569878       -1029.051    
chullside_00009     30.22324      -0.2600000       -52.12487    
 
chullside_00010     30.22324      -0.2600000       -52.12487    
chullside_00010     29.74756      -0.2600000       -242.3965    
chullside_00010     10.82580        2.569878       -1029.051    
chullside_00010     30.22324      -0.2600000       -52.12487    
 
chullside_00011   -0.6981169        3.740000       -2834.322    
chullside_00011     1.262271        3.740000       -2050.167    
chullside_00011     10.82580        2.569878       -1029.051    
chullside_00011   -0.6981169        3.740000       -2834.322    
 
chullside_00012     23.89818       0.8760872       -5.642665    
chullside_00012     31.98704      -0.2600000        477.0162    
chullside_00012     26.42425       0.5245883        150.7151    
chullside_00012     23.89818       0.8760872       -5.642665    
 
chullside_00013     18.43835        1.592729       -541.1324    
chullside_00013     31.98704      -0.2600000        477.0162    
chullside_00013     26.42425       0.5245883        150.7151    
chullside_00013     18.43835        1.592729       -541.1324    
 
chullside_00014     22.50522        1.067609       -95.81063    
chullside_00014     18.42998        1.593843       -541.8728    
chullside_00014     23.89818       0.8760872       -5.642665    
chullside_00014     22.50522        1.067609       -95.81063    
 
chullside_00015     22.50522        1.067609       -95.81063    
chullside_00015     31.98704      -0.2600000        477.0162    
chullside_00015     23.89818       0.8760872       -5.642665    
chullside_00015     22.50522        1.067609       -95.81063    
 
chullside_00016     21.63539        1.185927       -154.3041    
chullside_00016     21.06701        1.262489       -193.8093    
chullside_00016     22.50522        1.067609       -95.81063    
chullside_00016     21.63539        1.185927       -154.3041    
 
chullside_00017     21.63539        1.185927       -154.3041    
chullside_00017     18.42998        1.593843       -541.8728    
chullside_00017     22.50522        1.067609       -95.81063    
chullside_00017     21.63539        1.185927       -154.3041    
 
chullside_00018     21.06701        1.262489       -193.8093    
chullside_00018     19.69768        1.442862       -295.9644    
chullside_00018     22.50522        1.067609       -95.81063    
chullside_00018     21.06701        1.262489       -193.8093    
 
chullside_00019     19.69768        1.442862       -295.9644    
chullside_00019     18.17628        1.637661       -419.0565    
chullside_00019     22.50522        1.067609       -95.81063    
chullside_00019     19.69768        1.442862       -295.9644    
 
chullside_00020     21.06701        1.262489       -193.8093    
chullside_00020     18.48118        1.587464       -534.8156    
chullside_00020     21.63539        1.185927       -154.3041    
chullside_00020     21.06701        1.262489       -193.8093    
 
chullside_00021     18.42998        1.593843       -541.8728    
chullside_00021     18.48118        1.587464       -534.8156    
chullside_00021     21.63539        1.185927       -154.3041    
chullside_00021     18.42998        1.593843       -541.8728    
 
chullside_00022     20.66197        1.316565       -222.7914    
chullside_00022     20.37210        1.354947       -244.0751    
chullside_00022     21.06701        1.262489       -193.8093    
chullside_00022     20.66197        1.316565       -222.7914    
 
chullside_00023     20.66197        1.316565       -222.7914    
chullside_00023     18.52654        1.581862       -528.1235    
chullside_00023     21.06701        1.262489       -193.8093    
chullside_00023     20.66197        1.316565       -222.7914    
 
chullside_00024     20.37210        1.354947       -244.0751    
chullside_00024     20.16461        1.382212       -259.6671    
chullside_00024     21.06701        1.262489       -193.8093    
chullside_00024     20.37210        1.354947       -244.0751    
 
chullside_00025     20.16461        1.382212       -259.6671    
chullside_00025     19.69768        1.442862       -295.9644    
chullside_00025     21.06701        1.262489       -193.8093    
chullside_00025     20.16461        1.382212       -259.6671    
 
chullside_00026     18.48118        1.587464       -534.8156    
chullside_00026     18.52654        1.581862       -528.1235    
chullside_00026     21.06701        1.262489       -193.8093    
chullside_00026     18.48118        1.587464       -534.8156    
 
chullside_00027     19.93472        1.412207       -277.3092    
chullside_00027     19.69768        1.442862       -295.9644    
chullside_00027     20.16461        1.382212       -259.6671    
chullside_00027     19.93472        1.412207       -277.3092    
 
chullside_00028     19.93472        1.412207       -277.3092    
chullside_00028     18.42998        1.593843       -541.8728    
chullside_00028     20.16461        1.382212       -259.6671    
chullside_00028     19.93472        1.412207       -277.3092    
 
chullside_00029     19.77975        1.432292       -289.4314    
chullside_00029     19.69768        1.442862       -295.9644    
chullside_00029     19.93472        1.412207       -277.3092    
chullside_00029     19.77975        1.432292       -289.4314    
 
chullside_00030     19.69768        1.442862       -295.9644    
chullside_00030     18.87093        1.541186       -458.1008    
chullside_00030     19.77975        1.432292       -289.4314    
chullside_00030     19.69768        1.442862       -295.9644    
 
chullside_00031     18.17628        1.637661       -419.0565    
chullside_00031     18.42998        1.593843       -541.8728    
chullside_00031     19.69768        1.442862       -295.9644    
chullside_00031     18.17628        1.637661       -419.0565    
 
chullside_00032     11.99152        2.425139       -927.0056    
chullside_00032     11.90240        2.436425       -934.4276    
chullside_00032     18.17628        1.637661       -419.0565    
chullside_00032     11.99152        2.425139       -927.0056    
 
chullside_00033     11.99152        2.425139       -927.0056    
chullside_00033     10.38485        2.613521       -1277.365    
chullside_00033     18.17628        1.637661       -419.0565    
chullside_00033     11.99152        2.425139       -927.0056    
 
chullside_00034     18.42998        1.593843       -541.8728    
chullside_00034     16.84517        1.794868       -694.0189    
chullside_00034     18.17628        1.637661       -419.0565    
chullside_00034     18.42998        1.593843       -541.8728    
 
chullside_00035     16.84517        1.794868       -694.0189    
chullside_00035     10.38485        2.613521       -1277.365    
chullside_00035     18.17628        1.637661       -419.0565    
chullside_00035     16.84517        1.794868       -694.0189    
 
chullside_00036     11.77602        2.452351       -945.0910    
chullside_00036     11.58436        2.476313       -961.5859    
chullside_00036     11.90240        2.436425       -934.4276    
chullside_00036     11.77602        2.452351       -945.0910    
 
chullside_00037     11.77602        2.452351       -945.0910    
chullside_00037     10.38485        2.613521       -1277.365    
chullside_00037     11.90240        2.436425       -934.4276    
chullside_00037     11.77602        2.452351       -945.0910    
 
chullside_00038     10.38485        2.613521       -1277.365    
chullside_00038     10.34177        2.618560       -1286.922    
chullside_00038     11.77602        2.452351       -945.0910    
chullside_00038     10.38485        2.613521       -1277.365    
 
chullside_00039     11.57561        2.477406       -962.3420    
chullside_00039     10.34177        2.618560       -1286.922    
chullside_00039     11.71135        2.460462       -950.6147    
chullside_00039     11.57561        2.477406       -962.3420    
 
chullside_00040     10.34177        2.618560       -1286.922    
chullside_00040     1.159730        3.740000       -2306.522    
chullside_00040     11.46791        2.490735       -971.8451    
chullside_00040     10.34177        2.618560       -1286.922    
 
chullside_00041     1.262271        3.740000       -2050.167    
chullside_00041     1.159730        3.740000       -2306.522    
chullside_00041     11.46791        2.490735       -971.8451    
chullside_00041     1.262271        3.740000       -2050.167    
 
chullside_00042     19.13127        1.027649       -1603.827    
chullside_00042     19.43938       0.9892649       -1577.073    
chullside_00042     20.08148       0.9101217       -1519.867    
chullside_00042     19.13127        1.027649       -1603.827    
 
chullside_00043     19.13127        1.027649       -1603.827    
chullside_00043    0.6840506        3.740000       -2496.793    
chullside_00043     20.08148       0.9101217       -1519.867    
chullside_00043     19.13127        1.027649       -1603.827    
 
chullside_00044     19.43938       0.9892649       -1577.073    
chullside_00044     20.61670       0.8555354       -1249.527    
chullside_00044     20.08148       0.9101217       -1519.867    
chullside_00044     19.43938       0.9892649       -1577.073    
 
chullside_00045     20.61670       0.8555354       -1249.527    
chullside_00045     29.64501      -0.2600000       -498.7509    
chullside_00045     20.08148       0.9101217       -1519.867    
chullside_00045     20.61670       0.8555354       -1249.527    
 
chullside_00046    0.6840506        3.740000       -2496.793    
chullside_00046     1.159730        3.740000       -2306.522    
chullside_00046     20.08148       0.9101217       -1519.867    
chullside_00046    0.6840506        3.740000       -2496.793    
 
chullside_00047     7.009104        2.603913       -2543.275    
chullside_00047     11.12754        2.047708       -2259.487    
chullside_00047     4.483039        2.955412       -2699.633    
chullside_00047     7.009104        2.603913       -2543.275    
 
chullside_00048     11.12754        2.047708       -2259.487    
chullside_00048     19.13127        1.027649       -1603.827    
chullside_00048     4.483039        2.955412       -2699.633    
chullside_00048     11.12754        2.047708       -2259.487    
 
chullside_00049     19.13127        1.027649       -1603.827    
chullside_00049    0.6840506        3.740000       -2496.793    
chullside_00049     4.483039        2.955412       -2699.633    
chullside_00049     19.13127        1.027649       -1603.827    
 
chullside_00050     12.47469        1.886515       -2007.234    
chullside_00050    -1.071815        3.740000       -3021.171    
chullside_00050     4.483039        2.955412       -2699.633    
chullside_00050     12.47469        1.886515       -2007.234    
 
chullside_00051    0.6840506        3.740000       -2496.793    
chullside_00051    -1.079753        3.740000       -3025.934    
chullside_00051     4.483039        2.955412       -2699.633    
