Arrhenius_curve  parameter_lnA    parameter_n   parameter_EperR
Arrhenius_00001     60.69298       -3.550513        8351.428    
Arrhenius_00002     50.58939       -2.076507        7842.574    
Arrhenius_00003     47.62020       -1.923493        6504.908    
Arrhenius_00004     37.51661      -0.4494869        5996.054    
Arrhenius_00005     64.05977       -4.000000        8592.332    
Arrhenius_00006     64.99692       -4.000000        8873.478    
Arrhenius_00007     33.21266        0.000000        5474.004    
Arrhenius_00008     34.14982        0.000000        5755.150    
Arrhenius_00009     33.77610        0.000000        6093.787    
Arrhenius_00010     34.84713        0.000000        6522.199    
Arrhenius_00011     63.36245       -4.000000        7825.283    
Arrhenius_00012     64.43348       -4.000000        8253.695    
