Arrhenius_curve  parameter_lnA    parameter_n   parameter_EperR
Arrhenius_00001     10.82580        2.569878       -1029.051    
Arrhenius_00002     26.42425       0.5245883        150.7151    
Arrhenius_00003     23.89818       0.8760872       -5.642665    
Arrhenius_00004     22.50522        1.067609       -95.81063    
Arrhenius_00005     21.63539        1.185927       -154.3041    
Arrhenius_00006     21.06701        1.262489       -193.8093    
Arrhenius_00007     20.66197        1.316565       -222.7914    
Arrhenius_00008     20.37210        1.354947       -244.0751    
Arrhenius_00009     20.16461        1.382212       -259.6671    
Arrhenius_00010     19.93472        1.412207       -277.3092    
Arrhenius_00011     19.77975        1.432292       -289.4314    
Arrhenius_00012     19.69768        1.442862       -295.9644    
Arrhenius_00013     18.17628        1.637661       -419.0565    
Arrhenius_00014     11.99152        2.425139       -927.0056    
Arrhenius_00015     11.90240        2.436425       -934.4276    
Arrhenius_00016     11.77602        2.452351       -945.0910    
Arrhenius_00017     11.71135        2.460462       -950.6147    
Arrhenius_00018     11.58436        2.476313       -961.5859    
Arrhenius_00019     11.57561        2.477406       -962.3420    
Arrhenius_00020     11.56645        2.478540       -963.1506    
Arrhenius_00021     11.46791        2.490735       -971.8451    
Arrhenius_00022     20.08148       0.9101217       -1519.867    
Arrhenius_00023     4.483039        2.955412       -2699.633    
Arrhenius_00024     7.009104        2.603913       -2543.275    
Arrhenius_00025     8.402061        2.412391       -2453.107    
Arrhenius_00026     9.271898        2.294073       -2394.614    
Arrhenius_00027     9.840276        2.217511       -2355.109    
Arrhenius_00028     10.24532        2.163435       -2326.127    
Arrhenius_00029     10.53519        2.125053       -2304.843    
Arrhenius_00030     10.74268        2.097788       -2289.251    
Arrhenius_00031     10.97257        2.067793       -2271.609    
Arrhenius_00032     11.12754        2.047708       -2259.487    
Arrhenius_00033     11.20960        2.037138       -2252.954    
Arrhenius_00034     12.73100        1.842339       -2129.861    
Arrhenius_00035     18.91577        1.054861       -1621.912    
Arrhenius_00036     19.00488        1.043575       -1614.490    
Arrhenius_00037     19.13127        1.027649       -1603.827    
Arrhenius_00038     19.19594        1.019538       -1598.303    
Arrhenius_00039     19.32292        1.003687       -1587.332    
Arrhenius_00040     19.33167        1.002594       -1586.576    
Arrhenius_00041     19.34084        1.001460       -1585.767    
Arrhenius_00042     19.43938       0.9892649       -1577.073    
Arrhenius_00043     12.47868        1.885988       -2006.901    
Arrhenius_00044     12.47906        1.885935       -2006.877    
Arrhenius_00045     12.47575        1.886369       -2007.163    
Arrhenius_00046     12.47469        1.886515       -2007.234    
Arrhenius_00047     12.47592        1.886345       -2007.151    
Arrhenius_00048     12.47601        1.886334       -2007.143    
Arrhenius_00049     12.47731        1.886157       -2007.045    
Arrhenius_00050     12.47701        1.886204       -2007.052    
Arrhenius_00051     12.47824        1.886039       -2006.956    
Arrhenius_00052     12.48101        1.885688       -2006.690    
Arrhenius_00053     14.06211        1.685132       -1854.899    
Arrhenius_00054     20.85211       0.8283802       -1192.180    
Arrhenius_00055     18.42860        1.594012       -542.0171    
Arrhenius_00056     18.42822        1.594065       -542.0410    
Arrhenius_00057     18.43154        1.593631       -541.7554    
Arrhenius_00058     18.43259        1.593485       -541.6843    
Arrhenius_00059     18.43136        1.593655       -541.7671    
Arrhenius_00060     18.43128        1.593666       -541.7750    
Arrhenius_00061     18.42998        1.593843       -541.8728    
Arrhenius_00062     18.43027        1.593796       -541.8659    
Arrhenius_00063     18.42904        1.593961       -541.9623    
Arrhenius_00064     18.42628        1.594312       -542.2280    
Arrhenius_00065     16.84517        1.794868       -694.0189    
Arrhenius_00066     10.05518        2.651620       -1356.738    
Arrhenius_00067     12.46850        1.887330       -2007.826    
Arrhenius_00068     12.46859        1.887317       -2007.819    
Arrhenius_00069     12.46881        1.887288       -2007.800    
Arrhenius_00070     12.47489        1.886474       -2007.290    
Arrhenius_00071     12.47646        1.886272       -2007.128    
Arrhenius_00072     12.47797        1.886072       -2006.996    
Arrhenius_00073     18.43879        1.592670       -541.0920    
Arrhenius_00074     18.43870        1.592683       -541.0989    
Arrhenius_00075     18.43848        1.592712       -541.1181    
Arrhenius_00076     18.43240        1.593526       -541.6282    
Arrhenius_00077     18.43082        1.593728       -541.7897    
Arrhenius_00078     18.42931        1.593928       -541.9224    
Arrhenius_00079     12.41660        1.894205       -2012.573    
Arrhenius_00080     12.46894        1.887271       -2007.786    
Arrhenius_00081     12.47612        1.886320       -2007.129    
Arrhenius_00082     18.49068        1.585795       -536.3451    
Arrhenius_00083     18.43835        1.592729       -541.1324    
Arrhenius_00084     18.43117        1.593680       -541.7891    
Arrhenius_00085     12.43799        1.891058       -2012.457    
